Index;Date de la demande;Année de naissance;sexe;nb_enfants_conduite_accompagne;nb_enfants_;points_perdus_;revenus_;val_residence_princ_;usage_vehicule;type_vehicule;age_vehicule_;type_conduite;formule;tarif_devis_;Code postal;
26;01/04/2022;1957;M;non;0;entre 1 et 6;0 - 15 000;0;Private;Minivan;non renseigné;z_Highly Rural/ Rural;dev_express;entre 200 et 300;18000;
27;01/03/2022;1998;F;non;0;0;40 000 - 60 000;0;Private;Sports Car;entre 1 et 3;z_Highly Rural/ Rural;dev_integral;entre 200 et 300;53950;
28;01/04/2022;1978;F;non;0;entre 1 et 6;60 000+;250 000 - 400 000;Private;z_SUV;non renseigné;Highly Urban/ Urban;dev_integral;entre 200 et 300;87510;
29;01/03/2022;1969;F;non;0;0;40 000 - 60 000;150 000 - 250 000;Private;z_SUV;entre 1 et 3;Highly Urban/ Urban;dev_vip;entre 800 et 900;95220;
30;01/02/2022;2006;F;non;0;0;60 000+;250 000 - 400 000;Private;z_SUV;15+;Highly Urban/ Urban;dev_premium;entre 300 et 400;23100;
31;01/01/2022;1974;F;non;entre 1 et 2;0;25 000 - 40 000;150 000 - 250 000;Private;z_SUV;entre 1 et 3;Highly Urban/ Urban;dev_express;entre 200 et 300;60500;
32;01/04/2022;1984;M;non;entre 1 et 2;entre 1 et 6;25 000 - 40 000;0;Commercial;Minivan;entre 4 et 10;z_Highly Rural/ Rural;dev_integral;entre 300 et 400;58200;
33;01/03/2022;1957;F;non;0;entre 1 et 6;60 000+;0;Private;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;70130;
34;01/02/2022;2018;M;non;0;entre 1 et 6;25 000 - 40 000;150 000 - 250 000;Private;z_SUV;entre 4 et 10;z_Highly Rural/ Rural;dev_premium;entre 400 et 500;49610;
35;01/02/2022;1978;M;oui;entre 1 et 2;0;60 000+;150 000 - 250 000;Private;Sports Car;entre 10 et 15;Highly Urban/ Urban;dev_express;entre 200 et 300;2240;
36;01/02/2022;1954;F;non;0;0;15 000 - 25 000;80 000 - 150 000;Private;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 300 et 400;74290;
37;01/02/2022;1961;F;non;0;0;25 000 - 40 000;150 000 - 250 000;Commercial;Sports Car;entre 10 et 15;Highly Urban/ Urban;dev_express;entre 200 et 300;74500;
38;01/02/2022;2016;F;non;3+;entre 1 et 6;60 000+;250 000 - 400 000;Private;z_SUV;entre 10 et 15;Highly Urban/ Urban;dev_integral;entre 200 et 300;93240;
39;01/05/2022;1967;F;non;0;0;60 000+;0;Private;Minivan;entre 10 et 15;Highly Urban/ Urban;dev_integral;entre 200 et 300;25400;
40;01/03/2022;1988;M;non;0;entre 1 et 6;40 000 - 60 000;150 000 - 250 000;Private;z_SUV;entre 10 et 15;z_Highly Rural/ Rural;dev_premium;entre 400 et 500;88260;
41;01/05/2022;2004;F;oui;entre 1 et 2;0;0 - 15 000;0;Private;Sports Car;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;95490;
42;01/04/2022;1937;F;non;3+;entre 1 et 6;0 - 15 000;0;Private;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;83370;
43;01/03/2022;1963;M;non;entre 1 et 2;0;0 - 15 000;0;Commercial;Pickup;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;10000;
44;01/04/2022;1965;F;oui;entre 1 et 2;0;40 000 - 60 000;150 000 - 250 000;Private;Pickup;non renseigné;Highly Urban/ Urban;dev_premium;entre 400 et 500;58180;
45;01/01/2022;1970;M;non;0;0;60 000+;0;Private;z_SUV;entre 10 et 15;Highly Urban/ Urban;dev_integral;entre 300 et 400;90300;
46;01/02/2022;1957;F;non;0;entre 1 et 6;60 000+;250 000 - 400 000;Private;z_SUV;entre 10 et 15;Highly Urban/ Urban;dev_express;entre 200 et 300;23000;
47;01/04/2022;1946;M;non;entre 1 et 2;entre 1 et 6;0 - 15 000;80 000 - 150 000;Private;z_SUV;entre 1 et 3;Highly Urban/ Urban;dev_express;entre 200 et 300;92140;
48;01/02/2022;1981;F;non;0;entre 1 et 6;60 000+;250 000 - 400 000;Commercial;Panel Truck;entre 10 et 15;Highly Urban/ Urban;dev_integral;entre 300 et 400;25400;
49;01/03/2022;1945;M;non;0;0;60 000+;0;Commercial;Van;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 200 et 300;27400;
50;01/04/2022;1984;F;oui;entre 1 et 2;entre 1 et 6;40 000 - 60 000;150 000 - 250 000;Private;Van;entre 1 et 3;z_Highly Rural/ Rural;dev_integral;entre 200 et 300;56600;
51;01/03/2022;1998;F;non;0;entre 7 et 11;25 000 - 40 000;80 000 - 150 000;Commercial;Pickup;entre 1 et 3;Highly Urban/ Urban;dev_integral;entre 300 et 400;53000;
52;01/03/2022;1974;F;non;3+;entre 1 et 6;40 000 - 60 000;150 000 - 250 000;Private;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;49280;
53;01/05/2022;2003;M;non;0;0;60 000+;250 000 - 400 000;Private;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;66000;
54;01/05/2022;1975;F;non;0;0;40 000 - 60 000;0;Private;Sports Car;15+;Highly Urban/ Urban;dev_express;entre 200 et 300;11170;
55;01/04/2022;2016;F;non;0;entre 1 et 6;60 000+;150 000 - 250 000;Commercial;Minivan;entre 4 et 10;z_Highly Rural/ Rural;dev_express;entre 200 et 300;61110;
56;01/01/2022;1974;M;non;0;0;60 000+;250 000 - 400 000;Private;Van;entre 10 et 15;Highly Urban/ Urban;dev_premium;entre 300 et 400;7100;
57;01/05/2022;1967;F;non;entre 1 et 2;entre 1 et 6;40 000 - 60 000;150 000 - 250 000;Commercial;Van;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 200 et 300;42410;
58;01/04/2022;1990;M;non;0;entre 1 et 6;60 000+;250 000 - 400 000;Private;z_SUV;entre 10 et 15;Highly Urban/ Urban;dev_express;entre 200 et 300;75002;
59;01/01/2022;1950;F;oui;3+;0;25 000 - 40 000;0;Private;Van;entre 1 et 3;Highly Urban/ Urban;dev_express;entre 200 et 300;42170;
60;01/04/2022;1992;F;oui;entre 1 et 2;entre 1 et 6;25 000 - 40 000;0;Private;Sports Car;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;81270;
61;01/03/2022;1950;F;non;0;0;60 000+;250 000 - 400 000;Private;Minivan;15+;Highly Urban/ Urban;dev_integral;entre 200 et 300;54460;
62;01/04/2022;1968;F;non;0;0;40 000 - 60 000;150 000 - 250 000;Private;Pickup;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;62470;
63;01/05/2022;1952;F;non;entre 1 et 2;0;60 000+;150 000 - 250 000;Commercial;Van;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 200 et 300;63800;
64;01/05/2022;1942;F;non;entre 1 et 2;0;25 000 - 40 000;0;Private;Sports Car;entre 1 et 3;Highly Urban/ Urban;dev_express;entre 200 et 300;46110;
65;01/04/2022;2019;F;non;0;0;15 000 - 25 000;80 000 - 150 000;Private;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 200 et 300;50110;
66;01/05/2022;1972;M;non;0;entre 1 et 6;60 000+;150 000 - 250 000;Private;z_SUV;entre 1 et 3;Highly Urban/ Urban;dev_express;entre 200 et 300;33270;
67;01/05/2022;1954;M;non;0;0;60 000+;150 000 - 250 000;Private;Pickup;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;56160;
68;01/05/2022;1972;M;non;0;entre 1 et 6;0 - 15 000;0;Private;Minivan;entre 4 et 10;z_Highly Rural/ Rural;dev_express;entre 200 et 300;93500;
69;01/04/2022;1950;M;non;entre 1 et 2;entre 1 et 6;15 000 - 25 000;80 000 - 150 000;Private;z_SUV;entre 10 et 15;Highly Urban/ Urban;dev_express;entre 200 et 300;23000;
70;01/01/2022;1999;F;non;0;entre 1 et 6;60 000+;0;Commercial;Pickup;entre 1 et 3;Highly Urban/ Urban;dev_integral;entre 300 et 400;58640;
71;01/01/2022;2019;F;non;0;0;60 000+;0;Private;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 300 et 400;43120;
72;01/01/2022;1988;M;non;0;entre 1 et 6;60 000+;400 000+;Private;z_SUV;entre 10 et 15;Highly Urban/ Urban;dev_express;entre 200 et 300;82000;
73;01/04/2022;2013;M;non;0;entre 1 et 6;60 000+;250 000 - 400 000;Private;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 200 et 300;56300;
74;01/02/2022;1943;F;non;entre 1 et 2;entre 1 et 6;60 000+;0;Private;Minivan;entre 4 et 10;z_Highly Rural/ Rural;dev_premium;entre 400 et 500;17590;
75;01/01/2022;1944;M;non;0;0;40 000 - 60 000;150 000 - 250 000;Private;Pickup;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;39220;
76;01/04/2022;1993;F;non;0;entre 1 et 6;60 000+;0;Private;z_SUV;15+;Highly Urban/ Urban;dev_integral;entre 300 et 400;20290;
77;01/05/2022;1950;F;non;0;entre 1 et 6;60 000+;250 000 - 400 000;Commercial;Minivan;entre 1 et 3;Highly Urban/ Urban;dev_express;entre 200 et 300;1000;
78;01/01/2022;1971;M;non;0;entre 1 et 6;40 000 - 60 000;0;Commercial;Panel Truck;entre 10 et 15;Highly Urban/ Urban;dev_premium;entre 300 et 400;47240;
79;01/02/2022;1970;F;non;0;entre 1 et 6;40 000 - 60 000;150 000 - 250 000;Private;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;31130;
80;01/04/2022;1962;M;non;0;entre 1 et 6;60 000+;0;Private;Minivan;entre 1 et 3;Highly Urban/ Urban;dev_premium;entre 300 et 400;48200;
81;01/01/2022;1940;M;non;0;0;0 - 15 000;0;Private;Sports Car;entre 1 et 3;z_Highly Rural/ Rural;dev_express;entre 200 et 300;90300;
82;01/02/2022;1959;M;non;0;0;60 000+;0;Commercial;Van;entre 4 et 10;z_Highly Rural/ Rural;dev_express;entre 200 et 300;4180;
83;01/04/2022;1959;F;non;entre 1 et 2;0;25 000 - 40 000;0;Commercial;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;1440;
84;01/05/2022;1959;M;non;0;entre 1 et 6;0 - 15 000;0;Private;Sports Car;non renseigné;z_Highly Rural/ Rural;dev_express;entre 200 et 300;31770;
85;01/01/2022;1961;M;non;0;entre 1 et 6;40 000 - 60 000;0;Commercial;Pickup;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;61250;
86;01/03/2022;1982;M;non;0;0;40 000 - 60 000;150 000 - 250 000;Private;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;58260;
87;01/01/2022;1970;M;non;0;0;0 - 15 000;0;Private;Minivan;15+;Highly Urban/ Urban;dev_premium;entre 400 et 500;9000;
88;01/05/2022;2001;F;oui;entre 1 et 2;0;15 000 - 25 000;0;Private;z_SUV;entre 1 et 3;z_Highly Rural/ Rural;dev_express;entre 200 et 300;48000;
89;01/02/2022;1974;M;non;0;0;40 000 - 60 000;150 000 - 250 000;Private;Minivan;entre 10 et 15;Highly Urban/ Urban;dev_premium;entre 500 et 600;42390;
90;01/01/2022;1965;M;non;entre 1 et 2;0;40 000 - 60 000;150 000 - 250 000;Private;Sports Car;entre 1 et 3;z_Highly Rural/ Rural;dev_integral;entre 200 et 300;41400;
91;01/04/2022;1943;M;non;0;entre 1 et 6;40 000 - 60 000;150 000 - 250 000;Commercial;Minivan;entre 1 et 3;Highly Urban/ Urban;dev_express;entre 200 et 300;67600;
92;01/03/2022;2012;F;non;entre 1 et 2;entre 1 et 6;15 000 - 25 000;80 000 - 150 000;Private;Minivan;entre 1 et 3;Highly Urban/ Urban;dev_premium;entre 300 et 400;80480;
93;01/02/2022;2018;F;non;0;entre 1 et 6;60 000+;250 000 - 400 000;Private;Sports Car;entre 1 et 3;Highly Urban/ Urban;dev_premium;entre 400 et 500;4300;
94;01/01/2022;1961;M;non;0;0;40 000 - 60 000;0;Private;Van;entre 1 et 3;Highly Urban/ Urban;dev_express;entre 200 et 300;55310;
95;01/04/2022;1953;F;non;0;entre 1 et 6;60 000+;150 000 - 250 000;Private;Pickup;entre 10 et 15;Highly Urban/ Urban;dev_integral;entre 200 et 300;84110;
96;01/01/2022;1972;F;non;0;entre 1 et 6;25 000 - 40 000;0;Commercial;Pickup;entre 4 et 10;z_Highly Rural/ Rural;dev_integral;entre 300 et 400;74500;
97;01/03/2022;1962;M;non;0;entre 7 et 11;25 000 - 40 000;0;Private;Minivan;entre 1 et 3;Highly Urban/ Urban;dev_express;entre 200 et 300;45000;
98;01/04/2022;1987;F;oui;3+;0;40 000 - 60 000;80 000 - 150 000;Private;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 200 et 300;40000;
99;01/05/2022;1981;M;non;entre 1 et 2;entre 1 et 6;60 000+;150 000 - 250 000;Private;Van;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 300 et 400;12630;
100;01/02/2022;2004;M;non;0;0;60 000+;0;Commercial;z_SUV;entre 1 et 3;Highly Urban/ Urban;dev_integral;entre 300 et 400;49125;
101;01/02/2022;1957;M;non;entre 1 et 2;entre 1 et 6;0 - 15 000;80 000 - 150 000;Commercial;Pickup;entre 10 et 15;Highly Urban/ Urban;dev_integral;entre 300 et 400;64130;
102;01/01/2022;2000;F;non;entre 1 et 2;0;40 000 - 60 000;150 000 - 250 000;Private;Minivan;entre 1 et 3;Highly Urban/ Urban;dev_integral;entre 300 et 400;1090;
103;01/01/2022;1971;M;non;0;entre 1 et 6;60 000+;0;Private;Minivan;entre 10 et 15;Highly Urban/ Urban;dev_integral;entre 300 et 400;19100;
104;01/01/2022;2013;M;non;0;entre 1 et 6;60 000+;0;Commercial;Panel Truck;15+;Highly Urban/ Urban;dev_express;entre 200 et 300;12000;
105;01/05/2022;1962;M;non;0;entre 1 et 6;60 000+;0;Private;Minivan;entre 10 et 15;Highly Urban/ Urban;dev_premium;entre 400 et 500;5330;
106;01/03/2022;1999;M;non;entre 1 et 2;0;0 - 15 000;400 000+;Commercial;Panel Truck;entre 10 et 15;Highly Urban/ Urban;dev_integral;entre 200 et 300;86280;
107;01/01/2022;1951;F;oui;entre 1 et 2;0;15 000 - 25 000;80 000 - 150 000;Private;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 300 et 400;37130;
108;01/03/2022;1983;M;non;3+;entre 1 et 6;60 000+;250 000 - 400 000;Commercial;Minivan;entre 10 et 15;z_Highly Rural/ Rural;dev_integral;entre 300 et 400;28140;
109;01/01/2022;1965;F;non;entre 1 et 2;entre 1 et 6;60 000+;250 000 - 400 000;Private;Minivan;entre 10 et 15;Highly Urban/ Urban;dev_express;entre 200 et 300;48220;
110;01/04/2022;1932;M;non;0;0;0 - 15 000;80 000 - 150 000;Private;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_premium;entre 300 et 400;29820;
111;01/01/2022;1970;M;non;0;0;60 000+;150 000 - 250 000;Commercial;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 200 et 300;31120;
112;01/05/2022;1968;M;oui;entre 1 et 2;0;60 000+;250 000 - 400 000;Commercial;Minivan;entre 10 et 15;Highly Urban/ Urban;dev_express;entre 200 et 300;13140;
113;01/03/2022;1954;M;non;entre 1 et 2;0;0 - 15 000;80 000 - 150 000;Private;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;45380;
114;01/03/2022;1958;F;non;entre 1 et 2;entre 1 et 6;40 000 - 60 000;80 000 - 150 000;Commercial;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;70800;
115;01/01/2022;1967;F;non;0;0;60 000+;150 000 - 250 000;Private;z_SUV;entre 10 et 15;Highly Urban/ Urban;dev_premium;entre 300 et 400;41290;
116;01/01/2022;1971;F;oui;entre 1 et 2;0;15 000 - 25 000;80 000 - 150 000;Private;Minivan;entre 1 et 3;z_Highly Rural/ Rural;dev_premium;entre 400 et 500;84740;
117;01/01/2022;1945;F;oui;entre 1 et 2;0;40 000 - 60 000;150 000 - 250 000;Private;Sports Car;entre 10 et 15;z_Highly Rural/ Rural;dev_express;entre 200 et 300;20290;
118;01/01/2022;1961;F;oui;3+;0;0 - 15 000;80 000 - 150 000;Private;Pickup;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 300 et 400;30190;
119;01/05/2022;2014;M;oui;entre 1 et 2;entre 1 et 6;40 000 - 60 000;0;Commercial;Sports Car;entre 1 et 3;Highly Urban/ Urban;dev_integral;entre 300 et 400;74150;
120;01/05/2022;2019;M;non;0;0;60 000+;150 000 - 250 000;Private;Minivan;entre 10 et 15;Highly Urban/ Urban;dev_integral;entre 300 et 400;4220;
121;01/02/2022;1953;M;non;0;0;0 - 15 000;80 000 - 150 000;Private;z_SUV;entre 10 et 15;z_Highly Rural/ Rural;dev_integral;entre 300 et 400;93700;
122;01/02/2022;1966;M;non;entre 1 et 2;entre 1 et 6;60 000+;250 000 - 400 000;Private;Minivan;entre 10 et 15;Highly Urban/ Urban;dev_express;entre 200 et 300;28300;
123;01/05/2022;1953;M;non;0;0;60 000+;0;Private;z_SUV;entre 10 et 15;Highly Urban/ Urban;dev_integral;entre 300 et 400;88110;
124;01/01/2022;1974;F;non;0;0;60 000+;150 000 - 250 000;Private;Pickup;entre 10 et 15;Highly Urban/ Urban;dev_integral;entre 300 et 400;1800;
125;01/01/2022;1994;F;non;entre 1 et 2;entre 1 et 6;25 000 - 40 000;80 000 - 150 000;Private;Van;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 300 et 400;42400;
126;01/04/2022;1990;M;non;0;0;60 000+;0;Private;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 200 et 300;4000;
127;01/04/2022;1954;M;non;0;entre 1 et 6;60 000+;250 000 - 400 000;Private;Minivan;entre 1 et 3;Highly Urban/ Urban;dev_integral;entre 200 et 300;81100;
128;01/03/2022;2006;M;non;0;entre 7 et 11;0 - 15 000;0 - 80 000;Commercial;Minivan;entre 1 et 3;z_Highly Rural/ Rural;dev_express;entre 200 et 300;75015;
129;01/04/2022;2002;M;non;0;entre 1 et 6;40 000 - 60 000;150 000 - 250 000;Commercial;Sports Car;non renseigné;Highly Urban/ Urban;dev_premium;entre 500 et 600;66220;
130;01/04/2022;1964;M;non;0;entre 1 et 6;60 000+;250 000 - 400 000;Private;Minivan;entre 10 et 15;Highly Urban/ Urban;dev_express;entre 200 et 300;12800;
131;01/02/2022;1953;F;non;entre 1 et 2;0;0 - 15 000;0 - 80 000;Private;Sports Car;entre 10 et 15;Highly Urban/ Urban;dev_express;entre 200 et 300;61110;
132;01/05/2022;1952;F;non;entre 1 et 2;entre 7 et 11;25 000 - 40 000;0;Private;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_vip;entre 600 et 700;21800;
133;01/03/2022;2014;M;non;3+;0;0 - 15 000;0 - 80 000;Private;z_SUV;entre 1 et 3;z_Highly Rural/ Rural;dev_express;entre 200 et 300;88300;
134;01/02/2022;1967;M;non;0;entre 1 et 6;25 000 - 40 000;150 000 - 250 000;Private;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;17600;
135;01/04/2022;2018;F;oui;entre 1 et 2;0;40 000 - 60 000;150 000 - 250 000;Private;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 200 et 300;74250;
136;01/05/2022;1932;F;non;entre 1 et 2;0;60 000+;0;Private;Minivan;15+;Highly Urban/ Urban;dev_integral;entre 300 et 400;48200;
137;01/03/2022;2011;M;non;0;entre 1 et 6;40 000 - 60 000;150 000 - 250 000;Commercial;Van;entre 10 et 15;Highly Urban/ Urban;dev_integral;entre 300 et 400;10600;
138;01/05/2022;1987;M;oui;3+;entre 1 et 6;60 000+;250 000 - 400 000;Commercial;Van;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;47300;
139;01/05/2022;1971;M;non;entre 1 et 2;entre 1 et 6;40 000 - 60 000;80 000 - 150 000;Commercial;z_SUV;entre 1 et 3;Highly Urban/ Urban;dev_express;entre 200 et 300;52100;
140;01/04/2022;1977;F;non;3+;entre 1 et 6;0 - 15 000;0 - 80 000;Private;Sports Car;entre 4 et 10;Highly Urban/ Urban;dev_premium;entre 500 et 600;72170;
141;01/03/2022;1972;M;non;0;entre 1 et 6;60 000+;250 000 - 400 000;Commercial;Sports Car;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 300 et 400;44420;
142;01/02/2022;1971;F;non;0;0;60 000+;250 000 - 400 000;Private;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 200 et 300;79000;
143;01/01/2022;2017;F;non;entre 1 et 2;0;60 000+;400 000+;Private;Pickup;entre 10 et 15;Highly Urban/ Urban;dev_integral;entre 300 et 400;10120;
144;01/02/2022;1941;M;non;0;entre 1 et 6;40 000 - 60 000;0;Private;z_SUV;entre 10 et 15;Highly Urban/ Urban;dev_premium;entre 500 et 600;11120;
145;01/05/2022;1936;M;non;entre 1 et 2;entre 7 et 11;0 - 15 000;0;Commercial;z_SUV;non renseigné;Highly Urban/ Urban;dev_express;entre 200 et 300;46000;
146;01/05/2022;1972;M;non;0;entre 1 et 6;25 000 - 40 000;150 000 - 250 000;Private;z_SUV;entre 10 et 15;Highly Urban/ Urban;dev_express;entre 200 et 300;78800;
147;01/02/2022;1961;M;non;0;0;60 000+;150 000 - 250 000;Private;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 300 et 400;74930;
148;01/04/2022;1982;M;oui;3+;entre 1 et 6;15 000 - 25 000;0;Private;z_SUV;entre 4 et 10;z_Highly Rural/ Rural;dev_integral;entre 200 et 300;25000;
149;01/03/2022;1951;F;non;0;0;60 000+;250 000 - 400 000;Private;z_SUV;15+;Highly Urban/ Urban;dev_integral;entre 200 et 300;23600;
150;01/02/2022;1947;F;non;0;0;60 000+;250 000 - 400 000;Private;Minivan;entre 10 et 15;z_Highly Rural/ Rural;dev_express;entre 200 et 300;71400;
151;01/02/2022;1946;M;non;0;0;40 000 - 60 000;150 000 - 250 000;Private;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_integral;entre 300 et 400;42300;
152;01/03/2022;1959;F;non;0;entre 1 et 6;60 000+;0;Private;z_SUV;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;46100;
153;01/01/2022;1962;F;non;entre 1 et 2;entre 1 et 6;0 - 15 000;250 000 - 400 000;Private;Minivan;entre 1 et 3;Highly Urban/ Urban;dev_express;entre 200 et 300;35590;
154;01/03/2022;1992;M;non;0;entre 1 et 6;25 000 - 40 000;150 000 - 250 000;Private;Minivan;entre 4 et 10;Highly Urban/ Urban;dev_express;entre 200 et 300;80400;
